Reg No.,CALCULUS AND SOLID GEOMETRY,PROGRAM DESIGN AND DEVELOPMENT,COMPUTER HARDWARE AND TROUBLESHOOTING LABORATORY,MATERIALS SCIENCE,BASIC MECHANICAL ENGINEERING,PRINCIPLES OF ENVIRONMENTAL SCIENCE,BASIC CIVIL ENGINEERING,PHYSICS,ADVANCED CALCULUS AND COMPLEX ANALYSIS,CHEMISTRY,BASIC ELECTRICAL ENGINEERING,PROGRAMMING LABORATORY,TRANSFORMS AND BOUNDARY VALUE PROBLEMS,ELECTRON DEVICES AND CIRCUITS,DIGITAL SYSTEM DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING USING C++,PROBABILITY AND QUEUING THEORY,ELECTRICAL ENGINEERING AND CONTROL SYSTEMS,COMPUTER SYSTEM ARCHITECTURE,MICROPROCESSORS AND MICROCONTROLLERS,ALGORITHM DESIGN AND ANALYSIS,PROGRAMMING IN JAVA
RA1611003010026,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010027,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010028,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010029,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010030,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010031,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010032,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010033,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010034,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010035,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010036,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010037,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010038,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010039,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010040,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010041,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010042,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010043,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010044,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010045,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010046,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010047,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010048,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010049,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010050,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010051,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010052,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010053,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010054,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010055,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010056,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010057,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010058,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010059,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010060,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010061,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010062,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010063,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010064,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010065,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010066,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010067,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010068,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010069,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010070,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010071,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010072,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010073,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010074,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010075,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010076,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010077,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010078,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010079,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010080,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010081,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010082,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010083,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010084,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010085,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010086,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010087,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010088,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010089,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010090,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010091,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010092,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010093,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010094,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010095,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010096,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010097,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010098,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010099,,,,,,,,,,,,,,,,,,,,,,,,
RA1611003010100,,,,,,,,,,,,,,,,,,,,,,,,
